Model;class_name;dist_th;AP;AP_crit
ssn-REGNET;car;2.0;0.34034391534391534;0.6558435851988175
ssn-REGNET;truck;2.0;0.0;0.0
ssn-REGNET;bus;2.0;0.0;0.0
ssn-REGNET;trailer;2.0;0.0;0.0
ssn-REGNET;construction_vehicle;2.0;1.0000000000000004;0.11091233662846192
ssn-REGNET;pedestrian;2.0;0.7354478033698307;0.6651113626414656
ssn-REGNET;motorcycle;2.0;1.0000000000000004;0.977777777777778
ssn-REGNET;bicycle;2.0;0.0;0.0
ssn-REGNET;traffic_cone;2.0;0.0;0.0
ssn-REGNET;barrier;2.0;0.7297535386424275;0.8077860823844957
